total,g,day,month,date,year,type,location,opponent,rank,conference,wl,team_score,opp_score,ot,mov,last,streak,arena,state,abbr
593,17,Friday,January,13,2023,REG,1,Nebraska,,Big Ten,1,73,55,0,18,W,3,Mackey Arena,Indiana,IN
592,16,Sunday,January,8,2023,REG,2,Penn State,,Big Ten,1,76,63,0,13,W,2,The Palestra,Pennsylvania,PA
591,15,Thursday,January,5,2023,REG,2,Ohio State,24,Big Ten,1,71,69,0,2,W,1,Value City Arena,Ohio,OH
590,14,Monday,January,2,2023,REG,1,Rutgers,,Big Ten,0,64,65,0,-1,L,1,Mackey Arena,Indiana,IN
589,13,Thursday,December,29,2022,REG,1,Florida A&M,,SWAC,1,82,49,0,33,W,13,Mackey Arena,Indiana,IN
588,12,Wednesday,December,21,2022,REG,1,New Orleans,,Southland,1,74,53,0,21,W,12,Mackey Arena,Indiana,IN
587,11,Saturday,December,17,2022,REG,3,Davidson,,A-10,1,69,61,0,8,W,11,Gainbridge Fieldhouse,Indiana,IN
586,10,Saturday,December,10,2022,REG,2,Nebraska,,Big Ten,1,65,62,1,3,W,10,Pinnacle Bank Arena,Nebraska,NE
585,9,Wednesday,December,7,2022,REG,1,Hofstra,,CAA,1,85,66,0,19,W,9,Mackey Arena,Indiana,IN
584,8,Sunday,December,4,2022,REG,1,Minnesota,,Big Ten,1,89,70,0,19,W,8,Mackey Arena,Indiana,IN
583,7,Wednesday,November,30,2022,REG,2,Florida State,,ACC,1,79,69,0,10,W,7,Donald L. Tucker Civic Center,Florida,FL
582,6,Sunday,November,27,2022,REG,3,Duke,8,ACC,1,75,56,0,19,W,6,Moda Center,Oregon,OR
581,5,Friday,November,25,2022,REG,3,Gonzaga,6,WCC,1,84,66,0,18,W,5,Moda Center,Oregon,OR
580,4,Thursday,November,24,2022,REG,3,West Virginia,,Big 12,1,80,68,0,12,W,4,Veterans Memorial Coliseum,Oregon,OR
579,3,Tuesday,November,15,2022,REG,1,Marquette,,Big East,1,75,70,0,5,W,3,Mackey Arena,Indiana,IN
578,2,Friday,November,11,2022,REG,1,Austin Peay,,A-Sun,1,63,44,0,19,W,2,Mackey Arena,Indiana,IN
577,1,Tuesday,November,8,2022,REG,1,Milwaukee,,Horizon,1,84,53,0,31,W,1,Mackey Arena,Indiana,IN
576,37,Friday,March,25,2022,NCAA,3,Saint Peter's,,MAAC,0,64,67,0,-3,L,1,Wells Fargo Center,Pennsylvania,PA
